Frequency (Hz) - Phase	Phase - Phase	
1000,08	-0,768579	
1000,06	-0,718744	
1100,09	-0,746936	
1199,92	-0,656568	
1199,93	-0,712294	
1299,95	-0,684786	
1299,95	-0,691049	
1399,97	-0,707843	
1500	-0,718209	
1500,01	-0,67511	
1600,04	-0,678822	
1600,03	-0,661109	
1700,05	-0,689239	
1800,08	-0,655096	
1800,08	-0,65647	
1900,11	-0,673683	
1900,09	-0,709803	
1999,94	-0,648818	
2099,97	-0,69071	
2099,96	-0,669288	
2199,98	-0,659978	
2200	-0,668796	
2300,02	-0,615868	
2300,02	-0,593219	
2400,03	-0,61608	
2500,06	-0,57095	
2500,07	-0,642184	
2600,09	-0,588533	
2600,09	-0,623468	
2700,12	-0,605398	
2799,96	-0,633474	
2799,96	-0,493764	
2899,98	-0,590552	
2899,97	-0,530646	
3000	-0,552346	
3100,03	-0,552091	
3100,02	-0,529307	
3200,05	-0,635522	
3200,06	-0,615067	
3300,07	-0,51763	
3400,1	-0,538497	
3400,1	-0,53433	
3499,94	-0,416772	
3499,94	-0,573879	
3599,96	-0,555482	
3699,99	-0,502711	
3699,99	-0,521446	
3800,02	-0,51713	
3800,01	-0,526372	
3900,05	-0,507757	
4000,05	-0,516318	
4000,07	-0,400136	
4100,08	-0,584357	
4100,08	-0,542964	
4200,12	-0,428994	
4299,95	-0,420799	
4299,95	-0,379353	
4399,99	-0,445596	
4399,98	-0,437042	
4499,99	-0,437578	
4500,01	-0,430699	
4600,03	-0,520164	
4700,05	-0,470742	
4700,05	-0,38569	
4800,08	-0,435756	
4800,08	-0,442677	
4900,11	-0,360846	
5000,12	-0,396649	
5000,13	-0,458484	
5099,97	-0,375661	
5099,96	-0,314063	
5200	-0,457894	
5300,01	-0,345408	
5300,02	-0,355679	
5400,04	-0,321863	
5400,05	-0,407873	
5500,07	-0,344726	
5600,09	-0,379274	
5600,09	-0,338201	
5700,12	-0,316212	
5700,12	-0,35259	
5800,15	-0,383527	
5899,98	-0,255656	
5899,98	-0,291038	
6000	-0,307773	
6000	-0,275187	
6100,03	-0,363828	
6200,06	-0,313336	
6200,06	-0,354651	
6300,08	-0,217823	
6300,07	-0,361444	
6400,1	-0,293255	
6400,11	-0,336447	
6500,13	-0,326059	
6599,98	-0,315057	
6599,97	-0,300181	
6699,99	-0,201615	
6699,99	-0,297034	
6800,01	-0,267829	
